Hindi,English
कार्यक्रम,Program
विवाह,Marriage
भूमि,land
भाव,expressions
देखकर,after seeing
करोड़,Ten million
प्रथम,First
मूल,Original
परिवर्तन,Change
बच्चों,Children
लाभ,Benefit
प्रदान,provide
आये,come
छोटी,Small
स्त्री,Woman
सेवा,Service
व्यवहार,Behaviour
राम,Ram
रचना,Composition
की,of
भिन्न,Different
मिट्टी,Soil
देशों,Countries
इनके,Their
आती,comes
सही,Correct
उपलब्ध,Available
बल्कि,Rather
प्राय,usually
बिजली,Electricity
लेते,taking
जान,Life
बढ़,increase
सारे,all
शायद,Perhaps
सरकारी,Government
पड़,fall
चुका,paid
पड़ा,had
विधि,Method
छोड़,leave
लिखा,wrote
जबकि,Whereas
सिर्फ,Only
दर्शन,Visit
प्रक्रिया,Process
दिखाई,appear
कुल,Total
शब्दों,words
लाल,Red
निकल,Out
नये,New
रखने,Keeping
पंजाब,Punjab
नदी,River
गए,Went
मृत्यु,Death
स्वीकार,Accept
अन्तरिक्ष,Space
आकर,come
याद,Memory
उठा,picking
दूध,Milk
कांग्रेस,Congress
सारी,all
माध्यम,Channel
दूसरा,Second
संबंध,relationship
जिन,Gin
चाहे,whether
चाहते,Want
प्रणाली,System
तभी,then
होंगे,will
इनमें,Among these
सन,Sun
मान,Value
पुत्र,Son
उद्देश्य,Objective
विश्वास,faith
पिछले,Previous
ताकि,So that
निश्चित,Fixed
जिसका,Whose
जानकारी,Information
नेता,Leader
बालक,Boy
अन्त,End
उचित,Appropriate
संगीत,music
जल्दी,Quick
क्षमता,Capacity
हजार,Thousand
जाएगा,will
बनाया,made
पति,Husband
कोशिश,Effort
चुके,already
खाने,eat
फसल,Crop
प्रकृति,Nature
पौधों,Plants
प्रकट,Revealed
पक्ष,Party
नीति,Policy
यद्यपि,Although
मात्र,Only
भारी,Heavy
पुस्तकालय,Library
चले,let's go
समिति,Committee
सामग्री,Material
चाहिये,should
अन्तर्गत,under
माल,Goods
शामिल,Involved
बोली,Languages
उनसे,From them
अपेक्षा,Expectation
हेतु,For
नगर,City
दिये,Lamps
सम्बन्धी,Relative
पुस्तक,Book
खुद,Self
वर्णन,Description
बने,become
जोर,Emphasis
करें,do
जिनमें,In which
लक्षण,symptoms
नामक,namesake
वहीं,There itself
तुम्हारे,Your
विश्व,World
शासन,Government
वैसे,By the way
युग,Era
बैठ,sit
स्थापना,Establishment
अर्थात,In other words
सारा,Sarah
लेता,takes
लगती,it seems
लें,take
पार्टी,Party
गीत,Song
अवसर,opportunity
युद्ध,war
मालूम,Known
चारों,all four
प्रकाश,Light
जायेगा,will go
बैठे,sitting
तुम्हें,to you
समाप्त,End
जाय,go
साफ,Clean
धार्मिक,Religious
ताप,heat
उल्लेख,Mention
वर्तमान,present
लेना,Take
