Unnamed: 0,Hindi,English
209,आता,comes
210,कौन,Who
211,हों,be
212,आर्थिक,Economic
213,सहायता,Help
214,अतिरिक्त,Excessive
215,देर,Late
216,तरफ,on the side
217,लेने,take
218,चला,walked
219,सामाजिक,Social
220,समझ,Understanding
221,मगर,But
222,आते,coming
223,बच्चे,Children
224,कला,Art
225,पत्र,Letter
226,भीतर,inside
227,संस्कृति,Culture
228,उनमें,Among them
229,वर्ग,Social class
230,विभाग,Department
231,चाहता,wants
232,सिर,Head
233,बताया,told
234,जगह,Place
235,वही,Same
236,इतनी,So much
237,स्थापित,Established
238,राष्ट्रीय,National
239,स्वर,Vocal
240,क्षेत्रों,Areas
241,जिसके,whose
242,जन्म,Birth
243,जाए,go
244,दौरान,during
245,गांधी,Gandhi
246,हाँ,Yes
247,जनता,public
248,किस,What
249,केन्द्र,Centre
250,साहब,Sir
251,पूर्ण,full
252,पुलिस,Police
253,बोला,spoke
254,थईआ,Thaia
255,कमी,Shortage
256,समस्या,Problem
257,कार्यक्रम,Program
258,विवाह,Marriage
259,भूमि,land
260,भाव,expressions
261,देखकर,after seeing
262,करोड़,Ten million
264,मूल,Original
265,परिवर्तन,Change
266,बच्चों,Children
267,लाभ,Benefit
268,प्रदान,provide
269,आये,come
270,छोटी,Small
271,स्त्री,Woman
272,सेवा,Service
273,व्यवहार,Behaviour
274,राम,Ram
275,रचना,Composition
278,मिट्टी,Soil
279,देशों,Countries
280,इनके,Their
281,आती,comes
282,सही,Correct
283,उपलब्ध,Available
284,बल्कि,Rather
285,प्राय,usually
286,बिजली,Electricity
287,लेते,taking
288,जान,Life
289,बढ़,increase
290,सारे,all
291,शायद,Perhaps
292,सरकारी,Government
293,पड़,fall
294,चुका,paid
295,पड़ा,had
296,विधि,Method
297,छोड़,leave
298,लिखा,wrote
299,जबकि,Whereas
300,सिर्फ,Only
301,दर्शन,Visit
302,प्रक्रिया,Process
303,दिखाई,appear
304,कुल,Total
305,शब्दों,words
306,लाल,Red
307,निकल,Out
309,रखने,Keeping
310,पंजाब,Punjab
311,नदी,River
312,गए,Went
313,मृत्यु,Death
314,स्वीकार,Accept
315,अन्तरिक्ष,Space
316,आकर,come
317,याद,Memory
318,उठा,picking
319,दूध,Milk
321,सारी,all
322,माध्यम,Channel
323,दूसरा,Second
324,संबंध,relationship
325,जिन,Gin
327,चाहते,Want
328,प्रणाली,System
329,तभी,then
330,होंगे,will
331,इनमें,Among these
333,मान,Value
334,पुत्र,Son
335,उद्देश्य,Objective
336,विश्वास,faith
337,पिछले,Previous
338,ताकि,So that
339,निश्चित,Fixed
340,जिसका,Whose
341,जानकारी,Information
342,नेता,Leader
343,बालक,Boy
344,अन्त,End
345,उचित,Appropriate
346,संगीत,music
347,जल्दी,Quick
348,क्षमता,Capacity
349,हजार,Thousand
350,जाएगा,will
351,बनाया,made
352,पति,Husband
353,कोशिश,Effort
354,चुके,already
355,खाने,eat
356,फसल,Crop
357,प्रकृति,Nature
358,पौधों,Plants
359,प्रकट,Revealed
360,पक्ष,Party
361,नीति,Policy
362,यद्यपि,Although
363,मात्र,Only
364,भारी,Heavy
365,पुस्तकालय,Library
366,चले,let's go
367,समिति,Committee
368,सामग्री,Material
369,चाहिये,should
370,अन्तर्गत,under
371,माल,Goods
372,शामिल,Involved
373,बोली,Languages
374,उनसे,From them
375,अपेक्षा,Expectation
376,हेतु,For
377,नगर,City
378,दिये,Lamps
379,सम्बन्धी,Relative
380,पुस्तक,Book
381,खुद,Self
382,वर्णन,Description
383,बने,become
384,जोर,Emphasis
385,करें,do
387,लक्षण,symptoms
388,नामक,namesake
390,तुम्हारे,Your
391,विश्व,World
392,शासन,Government
393,वैसे,By the way
394,युग,Era
395,बैठ,sit
396,स्थापना,Establishment
397,अर्थात,In other words
398,सारा,Sarah
399,लेता,takes
400,लगती,it seems
401,लें,take
402,पार्टी,Party
403,गीत,Song
404,अवसर,opportunity
405,युद्ध,war
406,मालूम,Known
407,चारों,all four
408,प्रकाश,Light
409,जायेगा,will go
410,बैठे,sitting
411,तुम्हें,to you
412,समाप्त,End
413,जाय,go
414,साफ,Clean
415,धार्मिक,Religious
416,ताप,heat
417,उल्लेख,Mention
418,वर्तमान,present
419,लेना,Take
